task,id,label
0,0.png,1 24975 24977 255 25233 40304
0,1.png,1 21131 21133 44404
0,10.png,1 60539 60541 511 61053 1 61055 4482
0,100.png,1 30349 30351 18961 49313 16224
0,1000.png,1 19100 19102 46435
0,1001.png,1 17809 17811 37647 55459 1279 56739 511 57251 3839 61091 4446
0,1002.png,1 16519 16521 255 16777 44811 61589 3948
0,1003.png,1 19099 19101 255 19357 46180
0,1004.png,1 59559 59561 255 59817 5720
0,1005.png,1 25479 25481 40056
0,1006.png,1 18835 18837 46700
0,1007.png,1 31373 31375 259 31635 33902
0,1008.png,1 31877 31879 1 31881 764 32646 255 32902 32635
0,1009.png,1 6800 6802 58735
0,101.png,1 61057 61059 4478
0,1010.png,1 2921 2923 62614
0,1011.png,1 17555 17557 255 17813 256 18070 767 18838 767 19606 45931
0,1012.png,1 24197 24199 11277 35477 4871 40349 255 40605 24932
0,1013.png,1 14711 14713 255 14969 1026 15996 49541
0,1014.png,1 23686 23688 512 24201 1791 25993 255 26249 7945 34195 31342
0,1015.png,1 2926 2928 256 3185 62352
0,1016.png,1 19098 19100 46437
0,1017.png,1 54945 54947 767 55715 511 56227 9310
0,1018.png,1 23172 23174 1024 24199 41338
0,1019.png,1 20628 20630 768 21399 19725 41125 24412
0,102.png,1 25993 25995 39542
0,1020.png,1 37509 37511 13813 51325 14212
0,1021.png,1 19065 19067 46470
0,1022.png,1 37503 37505 255 37761 255 38017 14078 52096 13441
0,1023.png,1 11150 11152 45323 56476 9061
0,1024.png,1 31111 31113 255 31369 34168
0,1025.png,1 25230 25232 256 25489 2304 27794 29708 57504 8033
0,1026.png,1 32383 32385 255 32641 32896
0,1027.png,1 50844 50846 255 51102 14435
0,1028.png,1 20131 20133 35850 55984 9553
0,1029.png,1 24959 24961 40576
0,103.png,1 27758 27760 10774 38535 1537 40073 17649 57723 255 57979 255 58235 3581 61817 3720
0,1030.png,1 50848 50850 255 51106 255 51362 14175
0,1031.png,1 25485 25487 255 25743 1023 26767 5899 32667 32870
0,1032.png,1 26477 26479 39058
0,1033.png,1 24969 24971 255 25227 2561 27789 7175 34965 30572
0,1034.png,1 29835 29837 28936 58774 6763
0,1035.png,1 18838 18840 768 19609 45928
